gene	cc01-20covid1	cc01-20covid2	cc03-19covid	cc03-20covid1	cc03-20covid2	cc01-20mock1	cc01-20mock2	cc03-19mock1	cc03-20mock1	cc03-20mock2
PPAT	11.3	9.65	6.48	8.38	9.75	10.06	8.01	14.78	10.53	9.26
TUBGCP6	17.42	18.54	34.71	18.89	24.57	42.45	30.71	17.65	32.17	35.54
ADM2	1.05	1.31	1.66	1.55	1.56	1.58	1.59	2.05	0.59	1.37
DGCR6L	54.25	52.99	40.89	44.77	42.22	56	47.82	51.39	59.35	64.45
DGCR8	6.18	8.41	9.38	9.96	9.82	5.78	7.09	5.98	11.05	10.19
ASPHD2	0.73	0.87	2.34	1.95	2.06	0.78	0.9	1.53	1.12	0.86
VPREB3	0.08	0.2	0	0.37	0	0.09	0.24	0.17	0.68	0.45
SDF2L1	76.59	81.35	57.37	88.04	74.76	30.91	31.09	54.88	22.86	23.12
GAL3ST1	0.09	0.21	1.02	0.17	0.09	2.21	0.76	0.24	0	0.17
YWHAH	361.84	339.54	178.96	365.45	361.67	97.38	88.72	223.19	139.23	138.84
RFPL1	0	0	0	0	0	0	0.06	0	0	0
RFPL2	0	0.03	0	0	0	0.04	0	0	0	0
C22orf24	0.19	0.23	0.13	0.17	0.38	0.32	0.11	0.12	0	0.24
POM121L9P	0.15	0.32	0.24	0.04	0	0.59	0.76	0.35	0.11	0
GNAZ	0.02	0.01	0	0	0.01	0.15	0.16	0.06	0.37	0.29
MGAT3	0.3	0.6	0.84	2.24	2.64	0.88	1.13	0.23	5.89	3.05
ADORA2A	0.66	0.34	1.24	0.32	0.23	3.61	2.42	0	1.94	1.29
ATF4	142.67	143.35	169.95	151.63	147.73	164.44	144.1	144.72	134.06	154.83
A4GALT	24.77	22.29	76.92	74.74	82.46	29.92	29.1	61.06	113.45	99.97
RFPL3	0	0	0	0	0	0.16	0	0	0	0
CDC42EP1	75.88	70.78	76.05	97.81	93.9	56.72	56.13	60.55	23.41	25.44
APOL3	5.75	4.39	3.81	5.35	4.59	4.52	3.18	2.68	5.52	7.4
MCHR1	0	0.03	0	0	0.04	9.84	6.22	0.33	0.23	1.36
TPST2	47.73	40.28	30.79	38.07	35.86	35.3	25.32	34.7	33.11	31.52
BAIAP2L2	0.26	0.15	0.73	0.29	0.89	0.11	0.29	0.38	0.08	0.2
MPST	87.19	83.95	73.91	69.28	72.01	98.11	89.49	80.34	96.08	96.9
GALR3	0.1	0.09	0	0.04	0	0	0.26	0.03	0.24	0.41
TST	25.95	25.54	25.14	17.43	19.8	32.96	36.55	33.6	39.34	34.19
APOL5	0	0	0	0	0	0	0	0	0	0
IGLL1	0	0	0	0	0	0	0	0	0	0
APOL2	26.9	28.57	59.39	21.37	24.64	14.73	15.08	25.16	13.6	15.47
RAC2	29.88	29.36	30.67	86.36	83.54	13.11	7.68	117.3	18.28	18.91
LIF	5.91	4.97	8.2	13.92	14.19	5.85	3.52	11.66	1.94	2.11
C22orf23	0.94	0.34	0.46	0.81	0.52	1.18	1.5	0.18	3.9	3.71
APOBEC3A	20.99	21.04	20.59	29.96	20.51	1.32	1.75	5.15	2.95	1.94
APOBEC3F	9.1	11.26	8.85	13.03	12.78	6.84	8.16	5.51	10.03	8.83
RIBC2	6.09	5.42	2.32	1.62	3.3	8.59	5.51	0.23	25.68	29.18
KRT17	1569.73	1494.2	1562.26	12695.19	11819.28	165.38	597.49	3242.99	372.69	361.91
TBC1D27P	0	0.03	0	0	0	0	0.01	0	0	0
EMC4	214.59	212.09	159.01	185.72	178.63	129.73	132.23	177.43	160.48	148.8
RNF112	0	0.03	1.14	0.08	0.06	1.65	0.56	0.77	0.53	0.24
SPECC1	25.51	25.29	47.94	41.38	43.61	16.25	13.46	18.17	27.76	29.98
CPA4	9.74	8.46	15.78	23.6	24.6	2.89	9.33	12.47	3.08	2.29
DOCK4	3.18	2.22	2.18	2.66	3.63	4.22	4.4	3.2	4.86	3.73
POT1	13.14	9.16	7.28	8.61	9.7	14.33	10.79	9.87	13.26	14.28
TAS2R16	0	0	0	0	0	0	0	0	0	0
ATP6V1F	246.74	239.76	213.4	225.01	232.27	183.09	195.09	286.06	229.86	228.89
LSM8	22.55	23.83	20.95	24.09	22.57	17.55	23.65	23.9	22.81	25.98
CDHR3	4.64	4.03	0.53	2.72	3.24	9.33	5.49	1.62	36.48	35.61
PRKRIP1	25.08	24.21	40.11	25.85	24.53	35.97	34.51	25.47	35.13	33.65
VGF	0.07	0	0.06	0.08	0.02	0.05	0.08	0.08	0	0
PODXL	4.33	5.25	5.67	14.55	13.14	3.88	3.43	5.02	4.62	3.91
FOXP2	4.96	5.44	1.82	0.89	1.18	13.01	8.89	2.48	9.6	10.43
STRIP2	5.97	8.09	7.33	2.26	1.36	4.86	4.07	9.94	0.21	0.6
IFT22	41.11	40.28	20.15	35.03	31.41	33.04	32.21	22.31	76.73	76.2
MKLN1	38.99	37.94	31.81	24.67	29.17	27.1	24.14	27.3	28.09	30.42
DNAJB9	55.58	49.44	58.24	58.71	58.12	71.32	59.61	40.88	28.26	27.82
FLNC	1.9	1.6	4.44	0.52	0.7	2.94	2.52	10.64	3.48	2.97
LRRC4	7.3	5.87	11.07	4.98	5	2.65	4.09	8.38	9.94	9.08
CALU	254.33	232.84	178.68	204.3	213.76	176.4	133.91	334.85	143.71	151.45
CCDC136	0.21	0.35	0.62	0.46	0.6	0.39	0.92	1.02	0.1	0
SMO	0.78	0.56	1.08	2.38	2.36	1.42	1.36	2	2.8	3.08
IRF5	8.26	8.27	36.76	20.34	22.57	10.82	9.86	8.74	18.53	21.02
LRRC17	3.66	2.9	3.55	2.05	1.77	2.49	4.74	9.17	5.87	6.76
KLHDC10	6.93	9.24	7.13	7.11	5.41	8.65	8.75	4.94	5.65	6.33
NDUFA5	70.37	77.75	58.29	63.75	64.51	83.37	72.71	67.12	106.68	113.15
FEZF1	0.08	0.08	0	0	0.12	0.03	0.48	0.04	0	0
OPN1SW	0	0.03	0	0.04	0	0.04	0	0	0	0.34
MRPS12	88.86	90.82	61.42	78.8	83.73	45.77	40.49	111.35	64.34	66.8
MYO1B	232.5	228.96	126.21	168.48	167.4	88.34	71.31	208.86	72.75	64.8
HOXD1	2.72	2.58	2.43	0.2	0.22	3.56	3.31	0.95	0.14	0
HOXD3	0	0	0.11	0	0	0	0.04	0	0	0
MTX2	70.35	61.09	44.03	65.9	63.41	43.44	45.14	57.68	79.09	87.81
CHN1	4.79	3.28	9.02	3.13	3.47	12.37	12.97	13.77	10.69	12.11
GAD1	0.54	0.68	1.12	0.53	0.34	0.88	0.82	1.01	0.48	0.49
EIF2S2P4	7.7	10.77	9.19	30.26	26.76	4.52	2.76	14	14.98	18.91
OSGEPL1	10.82	9.9	5.99	3.19	4.79	9.78	8.66	6.94	10.13	10.01
ORMDL1	92.12	108	118.7	65.57	70.21	159.73	142.5	87.95	114.52	114.03
HAT1	70.82	75.14	50.58	60.77	62.55	37.8	38.2	60.21	51.77	52.05
HOXD9	0	0	0	0	0	0	0	0	0	0
HOXD10	0	0	0	0	0	0	0	0	0	0
HOXD11	0	0	0	0	0	0	0	0	0	0
HOXD13	0	0	0	0	0	0	0	0	0	0
HERC2	10.56	15.03	10.85	11.61	11.9	9.57	12.27	11.12	15.93	11.35
SNRPN	169.73	164.39	101.07	129.67	132.22	157.6	133.69	162.32	100.82	97.15
PSMG2	99.37	103.22	67.88	69.95	68.03	67.45	71.63	71.54	70.21	69.53
TWSG1	55.8	50.72	26.42	41.42	37.98	38.89	35.01	32.33	49.24	46.48
ARHGAP22	4.32	5.22	8.06	6.56	6.74	7.55	7.09	14.61	5.43	7.1
WDFY4	0	0	0.53	0	0	0	0	0	0.36	0
EIF2AK4	22.26	22.63	13.53	23.29	22.72	16.8	15.47	24.41	24.31	25.43
MYO5C	42.46	43.45	34.76	22.23	26.12	50.54	45.3	23.03	41.11	38.92
CGNL1	3.44	4.33	1.84	0.86	1.14	3.93	3.43	0.56	1.25	0.87
TMOD2	1.35	1.51	1.5	1.8	2.21	0.24	1.23	0.92	0.84	0.35
TTBK2	2.65	3.35	3.45	3.91	4.31	8.06	5.58	2.12	8.47	6.78
ELL3	20.72	16.44	15.02	10.9	10.76	20.99	13.98	35.67	33.84	40.87
CCDC32	32.51	35.52	16.65	28.31	24.98	22.29	16.2	22.42	25.17	23.17
INO80	6.08	6.96	5.21	6.8	8.44	6.27	4.49	6.12	6.95	8.47
ICE2	34.35	40.02	29.28	33.1	33.94	43.05	37.58	35.47	56.39	47.29
DLL4	6.36	5.15	10.14	0.87	0.93	3.08	1.86	5.94	1.24	0.96
ALDH1A2	1.74	1.01	1.27	2.21	1.4	3.26	2.31	1.64	1.61	1.72
MINDY2	17.9	21.75	30.12	31.7	34.17	26.95	25.12	20.81	30.49	27.43
IVD	116.74	116.82	69.6	42.54	48.34	91.06	83.17	61.57	88.89	86.67
KNSTRN	58.62	55.35	28.37	23.67	24.1	7.12	12.15	39.48	12.2	14.96
DUT	104.73	103.08	65.29	78.92	85.32	106.14	95.99	92.22	119.2	125.42
CHAC1	7.76	7.51	13.47	6.91	4.58	6.07	7.13	9.02	5.23	6.3
CLN6	15.72	18.49	15.47	15.75	14.41	8.58	12.05	15.24	11.92	15.18
ARPP19	85.75	77.3	56.25	83.99	92.7	63.56	54.89	74.45	72.87	66.96
VPS13C	3.05	4.47	6.38	3.03	2.47	8.81	7.82	3.73	7.66	6.02
CALML4	6.05	6.07	10.51	8.6	11.5	11.49	10.25	6.76	36	32.16
ISLR	0.56	0.13	0.32	0.77	0.94	3.03	1.77	0.28	2.5	2.17
THAP10	3.07	3.68	1.15	3.75	2.77	1.86	1.87	2.29	6	5.54
LOXL1	4.01	3.07	10.64	15.43	16.22	22.31	27.18	71.27	62.73	61.63
ACKR4	0.3	0.55	0.77	0.02	0.15	0.1	0.4	1.16	0.28	0.21
ANAPC13	87.72	89.51	83.12	66.58	70.26	87.16	75.61	128.31	121.5	108.49
MBD4	35.88	35.49	38.42	24.65	21	43.93	40.05	29.76	43.4	39.29
COPB1	168.88	149.72	125.42	155.02	165.4	119.44	101.82	161.86	143.38	139.46
PSMA1	232	224.98	155.17	193.88	166.08	112.22	133.35	174.66	132.65	140.94
SUMF2	74.07	66.01	51.71	58.84	68.19	99.82	82.46	74.98	142.28	139.23
PALLD	44.06	35.99	31.89	116.72	110.89	34.98	36.05	56.91	51.05	66.44
SPCS3	94.12	86.06	74.73	126.76	115.47	39.38	39.97	64.51	43.97	42.77
BBOX1	2.17	2.14	1.05	2.06	3.31	3.63	3.6	3.22	15.55	14.36
MYOD1	0	0	0	0	0	0	0	0	0	0
SERGEF	15.5	11.3	10.52	8.91	10.31	15.93	13.56	14.4	13.9	13.78
KCNC1	0	0.02	0.04	0	0	0.02	0	0	0.04	0.1
TPH1	0.02	0.07	0.01	0.01	0.01	0.01	0.04	0.06	0.11	0.06
CSRP3	0	0	0	0	0	0.04	0	0	0.04	0
E2F8	3.21	4.67	4.57	2.29	2.46	2.84	3.72	4.25	4.51	6.36
DCTD	93.33	87.8	69.84	86.23	93.61	63.37	64.85	98.89	99.97	91.17
SOX15	12.17	10.66	21.33	71.79	71.5	15.52	17.12	75.08	33.47	36.27
PIMREG	10.05	9.63	5.41	7.06	6.52	1.26	1.21	5.53	3.05	5.87
RPAIN	37.33	40	43.78	31.2	30.61	56.19	54.93	25.8	44.45	46.45
USP6	0.02	0.03	0.03	0.02	0.01	0.04	0.03	0.08	0.05	0.08
SHBG	0.73	0.61	0.6	0.3	0.75	0.39	0.87	0.44	0.09	0.71
PLD2	14.58	15.46	40.63	32.56	38.67	23.17	29.14	23.23	29.62	33.1
AIPL1	0.09	0.12	0	0	0	0	0.02	0	0	0
CD68	30.47	30.03	88.27	25.87	29.2	37.86	27.84	42.56	35.27	32.93
TXNDC17	844.47	838.15	422.68	741.78	724.43	383.46	406.29	817.99	259.19	264.62
ATP1B2	0.12	0.07	0.13	0	0.16	2.37	1.17	0.27	0.17	0.7
FXR2	33.26	28.99	27.42	30.89	32.55	24.68	22.23	26.29	32.54	26.06
KIF1C	126.31	114.8	95.56	151.49	183.51	57.12	63.46	112.42	96.83	96.35
MPDU1	179.89	171.35	111.88	112.13	111.74	77.13	67.26	100.83	109.85	102.91
PHF20L1	35.37	32.93	46.25	47.88	47.63	29.17	35.07	35.59	56.72	56.34
LRRC6	3.23	4.27	2.8	2.65	5.11	5.44	4.21	1.03	19.51	19.24
CCNT1	3.77	4.78	4.69	3.74	4.32	8.27	6.19	2.55	7.57	5.82
PUS7L	9.56	9.87	7.67	12.7	9.3	8.84	11.09	13.33	13.25	12.91
KRI1	21.84	21.22	21.16	18.73	20.45	22.4	19.9	20.17	28.14	27.58
ILF3	75.89	81.08	89.95	79.65	79.4	79.02	80.03	85.2	89.81	92.17
SLC44A2	244.07	222.13	224.99	487.05	514.42	111.23	122.58	169.92	176.51	179.2
AP1M2	139.74	140.11	105.45	143.99	152.59	89.26	77.15	113.47	116.04	110.99
CDKN2D	10.78	10.76	17.76	18.88	18.8	18.98	12.32	13.08	25.87	28.22
MTUS1	84.21	92.1	98.19	33.76	33.53	102.58	87.56	49.12	56.29	57.85
KLK14	0.84	0	0	1.08	1.02	0.11	18.02	0	0.56	0.63
SIGLEC9	0.02	0.12	0.12	0.1	0	0.07	0	0	0	0
KLK10	139.85	116.58	114	699.65	729.57	12.59	421.08	101.05	135.72	125.61
KLK8	8.98	7.24	3.62	25.33	29.41	6.05	24.59	52.28	8.03	6.33
NGDN	46.09	49.69	54.27	35.99	34.98	49.5	40.91	41.92	48.37	51.36
RIPK3	20.22	18.32	28.49	27.51	25.46	11.37	12.13	5.19	13.92	11.51
ADCY4	0.35	0.12	2.32	0.81	0.65	3.69	1.38	0.76	2.21	2.57
RAB2B	9.67	9.38	9.72	10.14	9.43	12.92	10.7	10.16	10.69	12.84
BCL2L2	2.85	3.61	3.78	3.87	3.43	3.5	5.2	4.42	5.72	5.43
AJUBA	57.71	57.01	24.07	71.16	73.49	30.48	25.86	47.96	40.02	39.7
DTD2	13.97	15.55	6.45	11.32	15.68	7.11	4.92	12.9	20.63	15.53
PARP2	33.5	39.65	42.07	26.62	25.69	41.24	36.17	26.21	34.31	40.45
HEATR5A	22.49	19.08	17.57	18.18	18.81	16.39	16.68	14.57	23.35	19.47
FOXA1	61.91	56.55	77.88	72.97	79.25	59.58	47.54	47.26	115.08	107.93
SNX6	121.51	120.1	150	175.41	176.4	73.18	76.28	144.44	144.18	130.94
EAPP	43.2	42	41.37	33.63	36.34	47.25	44.61	35.13	50.76	56.59
EGLN3	6.91	5.4	246.73	3.76	13.34	178.26	93.71	19.4	137.47	122.99
MIS18BP1	15.68	15.29	19.89	11.71	10.75	20.21	16.38	12.73	21.02	23.53
NRL	1.57	1.32	0.72	0.98	1.19	1.8	1.32	1.07	1.78	1.49
RNASE1	2234.98	2022.58	955.99	252.94	163.15	634.47	627.82	395.28	101.95	109.94
NEDD8	291.11	304.98	190.18	271.59	263.86	170.3	200.03	288.14	201.12	199.04
DAD1	384.29	383.16	262.04	389.61	368.96	268	268.27	376.36	279.58	273.06
TEP1	3.79	3.85	5.13	4.03	5.24	3.74	3.99	2.6	3.73	3.99
EPB41L4A	10.68	9.04	14.48	22.96	24.88	11.96	12.62	8.91	23.55	27.55
CDO1	0.07	0	0.73	0	0	0	0.05	0.7	0	0
REEP5	337.06	314.31	180.63	275.28	272.93	148.92	142.59	237.23	178.72	159.57
ITFG1	95.88	95.93	101.03	86.59	90.92	85.91	70.41	108.01	103.44	87.54
QRICH2	0.48	0.95	0.92	1.34	1.5	0.39	0.49	0.38	0.99	0.77
FOXJ1	4.59	6.31	1.02	6.29	8.47	15.35	10.64	0	65.53	64.72
SEC14L1	15.23	12.08	17.34	25.68	25.74	6.77	13.39	13.14	16.09	14.01
RHBDF2	31.82	29.26	76.25	57.5	57.26	37.36	30.08	30.34	65.48	73.61
AANAT	0	0.04	0	0	0	0.1	0	0	0.12	0
ARHGEF6	0.09	0.24	0.39	0.67	0.89	1.1	0.79	0.61	1.61	1.57
MAP7D3	2.36	1.6	2.77	4.07	5.08	1.8	2.13	9.7	5.94	5.82
FGF13	1.66	2.08	3.89	0.79	1.62	1.1	0.77	1.11	1.25	1.87
ASH2L	39.58	32.32	24.84	35.33	35.26	24.23	21.56	35.16	36.6	37.73
TTI2	20.84	21.24	16.21	17.23	17.14	11.04	10.67	16.1	19.46	18.15
ART1	0	0	0	0	0	0.03	0	0	0	0
CHRNA10	0.17	0.39	0.57	0.31	0.23	0.41	0.42	0.2	0.54	0.51
CDKN1C	4.15	3.45	13.64	15.62	13.69	19.69	15.23	2.97	13.61	18.46
SGO1	6.33	6.55	5.18	4.64	5.71	2.32	1.75	5.91	5.52	4.14
TTTY1B	0	0	0	0	0	0	0	0	0	0
RPS4Y1	4.01	4.35	68.49	102.46	98.97	14.46	11.55	84.82	170.18	176.41
TTTY1	0	0	0	0	0	0	0	0	0	0
VCY1B	0	0	0	0	0	0	0	0	0	0
VCY	0	0	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	0	0	0.01
CDH15	0.96	1.31	0.37	0.06	0.16	1.37	1.82	0.34	0.06	0.03
KLF16	2.74	3.59	3.56	4.27	4.28	1.39	2.62	4.87	3	2.28
PGAP6	210.61	200.32	133.14	99.81	98.43	114.6	111.08	127.73	85.86	92.29
DOHH	33.85	31.69	22.12	34.29	32.52	13.9	11.44	28.4	20.7	23.4
MAU2	21.99	24.08	37.85	27.27	33.18	36.63	35.53	21.88	43	47.4
SHC2	2.46	2.11	31.44	1.67	2.95	17.8	12.47	4.51	10.56	10.07
PLPPR3	0.42	0.76	0.12	0.63	0.73	2.38	1.63	0.64	5.58	9.24
INS-IGF2	0	0	0	0	0	0	0	0	0	0
ABHD17A	66.69	63.59	54.91	65.62	73.74	55.36	66.77	68.43	66.31	66.16
LBP	0.1	0.23	0.13	2.35	2.11	2.31	2.16	41.82	1.3	0.71
SYT5	0.96	1.19	0.39	1.57	1.04	2.66	1.49	0.08	15.48	12.3
TNNI3	0.16	0.7	0.45	0.1	0.57	1.46	0.51	0.51	1.45	2.16
CBFA2T3	0.91	1.03	2.35	2.55	4.03	1.57	1.11	0.49	5.79	4.83
GAMT	8.72	7.99	11.37	5.62	5.84	26.79	30.39	25.03	41.75	43.21
PUDP	44.2	43.84	26.26	19.06	20.83	31.8	30.97	34.95	21.49	21.81
ERMARD	13.81	12.06	21.2	16.89	15.81	21.96	21.97	21.91	27.59	26.04
PHF10	20.7	19.82	33.62	20.32	21.19	41.25	34.84	15.86	46.19	44.93
PRRG3	0	0	0.01	0	0	0	0	0	0	0.01
GALNT8	0	0	0	0	0	0.06	0	0	0	0
KCNA5	0	0	0	0	0	0	0	0	0	0
CRACR2A	0.65	1.2	0.8	1.71	2.61	1	0.26	0.73	1.85	2.27
NXNL2	0.05	0.42	0.24	0.05	0.06	0.89	0.51	0.32	0.59	0.42
STARD8	0.01	0	0.08	0	0.01	0.17	0.08	0.06	0.09	0.11
FAM155B	0.14	0.12	0.13	0.28	0.37	0.56	0.67	0.61	0.54	0.82
GDPD2	0.1	0.16	2.13	0.12	0.41	0.28	0.74	2.35	0.94	0.55
SAT1	2291.43	2386.4	4843.15	2215.01	2362.23	2732.29	3130.3	2518.52	3578.63	3563.09
GNL3L	26.52	30.44	22.55	34.07	34.2	17.16	16.18	26.6	31.27	29.61
SH3BP4	16.38	14.88	22.89	34.98	38.34	16.36	14.65	29.29	24.5	27.79
MOSPD2	12.87	10.96	8.18	9.95	9.48	12.09	10.79	10.52	12.13	15.7
DOCK6	8.65	10.82	23.83	17.31	19.66	20.24	24.03	11.59	27.69	28.98
ECSIT	29.81	27.51	23.44	22.52	24.44	24.92	17.68	18.88	28.27	30.38
LDLR	215.32	196.35	127.01	427.06	449.33	126.34	112.99	234.2	140.16	126.9
ELOF1	60.89	56.34	43.21	49.11	44.26	36.47	34.88	51.17	35.22	43.08
TSPAN16	0	0	0.07	0	0.04	0.11	0.08	0	0.13	0
ANGPTL8	0	0.09	0.37	0.11	0	0	0.33	0	0.12	0.31
PRKCSH	97.04	88.41	85.89	90.67	101.74	117.73	97.15	102.41	111.97	106.93
CNN1	0.79	0.68	0.92	3.46	2.71	1.54	2.42	3.95	3.11	4.03
CDC16	58.74	57.6	40.96	62.51	58.09	49.69	42.66	56.71	57.4	64.84
ZSCAN10	0.05	0.08	0	0	0	0.09	0.08	0	0	0
THEM6	32.43	31.43	33.77	30.19	33.02	26.75	24.39	20.8	42.21	42.43
NECTIN2	126.74	127.21	142.94	171.82	149.34	76.62	70.56	114.94	98.43	89.78
APOE	22.89	21	39.38	9.77	7.33	131.49	109.33	242.39	24.34	27.82
TOMM40	127.32	121.35	76.02	114.98	122.44	50.11	46.81	155.62	99.53	95.11
APOC1	9.59	7.83	9.24	5.45	5.04	6.16	8.5	4.01	1.25	1.91
GADD45G	16.28	20.03	21.33	3.76	2.3	66.36	68.36	4.08	5.38	4.25
LRCH2	0.68	0.79	0.55	0.07	0.02	0.27	0.71	1.23	0.16	0.4
DPP6	0	0	0	0	0	0.18	0.17	0	0.14	0.1
XPO7	24.73	22.49	22.5	25.88	26.6	21.78	18.81	26.08	33.54	36.34
ACE2	10.72	11.96	8.38	3.86	4.39	5.16	10.62	5.73	16.04	12.88
FAM98C	11.19	10.94	23.13	13.51	13.25	16.47	20.07	11.74	23.29	21.47
SAFB2	37.09	42.51	71.95	34.32	32.91	76.56	57.55	33.87	58.36	55.05
RPL36	609.75	610.01	456	547.34	506.71	565.67	547.06	686.32	715.24	676.65
ATP8B3	0.93	1.06	1.93	1.99	1.35	2.54	2.04	1.72	1.73	2.01
GDF1	0	0	0	0	0	0	0	0	0	0
NCAN	0	0	0	0	0	0	0	0	0	0.02
KIF1A	0	0.03	0	0	0	0	0	0	0	0
GTPBP3	14.27	14.18	17.06	13.29	18.42	17.47	18.61	13.07	20.94	22.85
PLVAP	0.03	0	0.08	0	0	0	0	0	0	0
BST2	34.65	36.51	111.3	42.18	23.65	7.9	15.02	4.18	11.59	10.88
SLC27A1	12.26	11.96	30.2	17.69	17.02	26.92	21.42	7.54	33.38	32.91
NSUN5	28.3	31.98	23.5	29.22	30.36	13.94	15.96	24.12	17.84	19.47
USHBP1	0.28	0	0.26	0	0.21	0.16	0.33	0.1	0.33	0.21
COLGALT1	47.87	48.82	44.67	66.08	64.87	30.14	23.71	68.98	37.91	45.03
DDA1	55.53	56.39	51.27	88.61	88.77	30.04	30.12	63.83	38.42	40.16
MRPL34	95.01	103.12	63.5	58.77	67.46	68.23	66.09	87.64	102.92	90.45
PGLS	72.43	69.1	62.65	94.65	104.2	43.85	44.97	76	73.43	73.34
LSM7	90	94.56	68.42	83.59	74.31	73.07	80.49	107.97	83.36	90.23
TULP4	16.2	19.26	28.27	25.21	24.25	22.03	26.84	14.33	30.27	22.92
SNX9	24.56	25.13	36.45	40.88	40.81	15.68	17.12	28.08	24.17	23.52
RTN4IP1	7.98	8.12	5.41	7.53	5.8	3.25	3.77	8.93	11.32	7.77
QRSL1	9.83	10.84	8.5	8.29	9.5	7.7	8.07	9.21	12.67	10.12
MTRES1	24.87	22.1	18.61	21.66	23.05	19.02	19.44	26.1	31.43	31.3
RSPH3	12.58	12.45	11.47	12.96	15.07	15.14	12.05	7.64	21.71	20.29
MAS1	0	0	0.01	0	0	0	0	0	0	0.01
ACSBG2	0	0	0.03	0.06	0.07	0.08	0.23	0.06	0.08	0
MLLT1	4.83	4.57	5.81	3.73	3.48	4.63	4.65	4.17	4.26	4.04
FUT5	0	0	0.29	0	0	0.21	0	0	0	0.12
BMP15	0.03	0	0	0	0	0.09	0	0	0.78	0.75
AFDN	34.45	34.72	69.8	37.4	34.18	44.17	57.35	27.47	42.86	46.43
ACTN4	373.37	357.33	241.96	511.44	521.17	169.48	148.51	300.73	302.62	307
STK33	11.77	12.17	4.54	2.61	1.95	7.18	7.57	4.12	12.82	16.39
NDUFA10	115.42	113.83	86.78	96.68	89.83	98.18	86.94	153.65	163.83	148.49
EPO	0	0	0.04	0	0	0	0	0	0.03	0.03
ARPC1B	801.42	734.99	395.41	636.31	616.21	229.82	204.94	690.25	213.77	200.02
CACNG6	0.42	0.33	0.32	0.42	0.15	0.26	0.49	0	0.65	1.64
ZSWIM6	2.17	2.02	3.53	3.81	3.15	2.81	3.08	2.44	3.28	3.42
FCHO1	2.64	3.57	3.48	4.03	4.55	4.6	2.92	2.64	4.95	4.56
UNC13A	0	0.05	0.07	0.11	0	0.04	0.06	0.07	0.02	0.04
MAP1S	28.28	31.03	29.79	35.24	31.77	19.55	19.84	29.54	21.74	22.52
KLHDC7B	0.18	0.25	0.97	0.39	0.3	0.14	0.31	0.02	0.75	0.2
PXDN	22.2	13.26	59.57	63.67	75.33	35.89	29.74	181.32	58.37	68.82
SSBP4	31.46	36.29	39.44	26.39	30.31	39.8	36.15	49.72	50.17	53.75
GDF15	392.75	365.76	728.58	242.92	216.95	603.22	355.56	396.61	175.75	183.12
PGPEP1	14.31	19.26	16.51	7.29	9.05	12.23	8.38	12.71	8.72	8.58
IQCN	0.3	0.25	0.54	0.14	0.31	0.58	0.46	0.17	0.22	0.4
LSM4	237.68	233.67	156.18	197.79	203.48	120.64	116.49	257.05	204.06	196.24
JUND	236.86	223.75	209.9	143.16	144.94	170.91	139.75	174.14	101.39	102.24
HRC	0	0	0.08	0	0	0.44	1.02	0	0.02	0
TRPM4	30.18	28.21	67.42	53.27	53	37.21	35.03	33.63	52.66	51.34
OR11H1	0	0	0	0	0	0	0	0	0	0
SULT4A1	0	0	0.09	0.02	0.15	0.26	0.23	0.38	0.06	0.29
ZNF557	2	1.79	1.84	1.54	2.04	1.78	2.01	1.26	1.86	2.04
CRB3	105.17	105.59	92.55	80.75	72.25	48.29	58.68	37.3	34.4	30.65
OLFM1	1.17	0.97	0.14	0.25	0.61	1.51	0.23	0	0.93	1.1
CAMSAP1	6.86	6.81	7.83	10.29	10.99	6.47	6.14	5.1	14.99	15.83
UBAC1	31.23	33.06	29.1	34.26	34.74	34.87	29.88	42.44	97.35	83.21
SAG	0	0.01	0	0.02	0	0.15	0.03	0	0.17	0.54
ZBTB46	0.77	1.31	7.13	2.96	2.88	2.02	3.5	0.92	2.54	3.83
HELZ2	7.53	10.05	38.19	12.19	11.92	8.64	8.61	3.81	5.17	5.24
SAMD10	13.96	13.28	19.02	10.87	10.36	19.22	16.81	11.7	24.88	27.91
LSP1	0.09	0.43	5.33	10.26	15.51	5.63	2.11	0.51	77.81	71.24
TNNT3	2.76	3.5	1.13	1.67	2.9	9.64	10.54	0.87	17.48	18.52
TNNI2	1.78	1.56	2.96	1.11	2.89	4.74	4.44	0.42	3.39	9.26
H19	2.01	2.5	5.52	6.9	8.71	65.02	142.91	8.67	138.11	132.72
CYP2G1P	0.32	0.25	0.38	0.1	0.22	0.41	0.13	0.1	0	0
COL5A1	2.29	1.61	3.02	1.14	0.62	12.61	13.99	7.66	7.57	8.32
ATXN10	256.08	241.36	206.66	248.6	260.26	157.81	138.56	293.7	267.68	242.86
TUBGCP2	39.12	37.97	33.04	35.96	38.73	34.01	35.51	37.37	36.26	37.46
CALY	0	0	0	0.06	0	0.05	0.37	0.08	0.17	0.18
CYP2E1	6.73	4.82	10.61	23.96	27.71	3.31	9.38	6.42	9.18	10.59
PNPLA7	0.41	0.5	1.45	0.26	0.3	2.61	2	1.1	1.55	1.57
HBZ	0	0	0	0	0	0	0	0	0	0.09
PAK4	12.92	10.21	11.96	17.15	16.4	13.56	10.55	13.37	22.71	22.05
MNX1	0.86	0.42	0.97	0.14	0.06	0.4	0.64	0.11	0.12	0.32
